n,threshold,cross_time_s,strassen_time_s
1,128,0.000001,0.000002
101,128,0.005647,0.010602
201,128,0.039441,0.075625
301,128,0.134325,0.532849
401,128,0.359136,0.531780
501,128,1.852567,0.529643
601,128,1.530664,3.748540
701,128,2.739491,3.773855
801,128,4.181664,3.773826
901,128,19.174729,3.765887
1001,128,28.217567,3.782928
1101,128,11.331703,26.456365
1201,128,14.892658,26.420671
1301,128,24.213915,26.472091
1401,128,78.896110,26.543313
1501,128,97.534805,26.407312
1601,128,65.070611,26.469227
1701,128,128.302822,26.529418
1801,128,170.274177,26.455555
1901,128,204.472138,26.531213
2001,128,233.951793,26.535360
2101,128,260.530557,185.842959
2201,128,301.928767,186.358081
2301,128,350.111492,186.367865
2401,128,408.420324,188.509552
2501,128,467.237860,186.139717
2601,128,499.042633,186.368779
2701,128,574.815091,186.306946
2801,128,633.078004,186.223385
2901,128,713.923340,186.353085
3001,128,792.438062,186.765259
3002,128,805.391881,186.020498
3102,128,836.013196,186.347501
3202,128,922.998339,186.304469
3302,128,1010.976677,186.213924
3402,128,1116.513645,186.255658
3502,128,1278.481068,186.477844
3602,128,1408.790560,186.283974
3702,128,1527.445799,186.143571
3802,128,1708.252634,186.297422
3902,128,1788.936418,186.296362
4002,128,1918.532375,186.365742
4102,128,2024.026704,1456.452635
4103,128,2069.507472,1322.616119
4203,128,2117.776783,1354.147266
4303,128,2283.177132,1544.679543
4403,128,2544.284229,1317.059510
4503,128,2710.883859,1346.495624
4603,128,2899.006269,1353.613060
4703,128,3030.197833,1366.264942
4803,128,3303.818667,1388.371654
4903,128,3506.781284,1402.842905
5003,128,3709.185699,1415.285649
