n,threshold,cross_time_s,strassen_time_s
1,128,0.000000,0.000001
101,128,0.005804,0.010980
201,128,0.038956,0.076143
301,128,0.136168,0.537924
401,128,0.359480,0.536646
501,128,1.466462,0.538218
601,128,1.571973,3.754778
701,128,2.897613,3.763419
801,128,4.240509,3.783656
901,128,19.546219,3.771658
1001,128,27.497085,3.794922
1101,128,11.450796,26.567802
1201,128,17.465832,26.571546
1301,128,54.361756,26.543997
1401,128,78.883238,26.541424
1501,128,98.084883,26.629070
1601,128,96.282142,26.654190
1701,128,124.392666,26.713456
1801,128,171.890079,26.696630
1901,128,203.279657,26.727860
